Date,Description,Amount
2026-07-01,Salary credited,60000
2026-07-02,Swiggy dinner,420
2026-07-03,Uber to office,190
2026-07-04,Amazon shopping,2499
2026-07-05,Electricity bill,1350
2026-07-06,BigBasket groceries,900
2026-07-07,Netflix subscription,199
2026-07-08,Apollo pharmacy medicines,650
2026-07-09,HP petrol pump,2000
2026-07-10,Jio mobile recharge,299
2026-07-11,Zomato lunch,380
2026-07-12,Flipkart order,1799
2026-07-13,Ola cab,240
2026-07-14,Freelance payment received,15000
2026-07-15,Gym membership,1200
2026-07-16,PhonePe to landlord,18000
